,mouse,treatment,vessel,age,pulse_freq,diam_mean,pressure_d,pressure_s,speed,flux,diam_mean_before_stim,diam_max_after_stim,diam_min_after_stim,power_diam_h1,power_diam_h2,power_diam_h3,power_center_h1,power_center_h2,power_center_h3
177,11020,after_hyper,cap3,adult,5.177951210481225,4.459031914893617,50.03743780434784,,,61.76631755032121,,,,77.3940844456528,7.410935472672535,,418.60816631823513,48.45549006427283,
178,11020,after_hyper,cap4,adult,5.160367167317114,4.893159574468085,50.32547065384616,,,75.62770874813239,,,,4.849397897056695,1.7853519225706986,,261.78355495641983,42.089132930112704,
179,11020,after_hyper,cap5,adult,5.155144123625498,4.894677631578947,50.259176531914896,,,48.60751005015999,,,,1.1543586920772662,2.1243383884764757,7.0438775245657945,271.66195807787807,22.625279364010286,6.6129494891574945
180,11020,after_ablation,pen_art,adult,5.119840870910719,15.42254341736695,48.49010008928572,,,,14.628085554734563,14.726,14.527,864.4902934447905,177.37678641646434,12.62505500112866,427.13848153574526,53.46505021506678,18.121608996023085
181,11020,after_ablation,sphincter,adult,,,48.51295176086956,,,145.41704984689525,5.999529418233432,6.169,5.851545157131025,,,,,,
182,11020,after_ablation,bulb,adult,,,48.199275862745104,,,,9.259069515041164,9.353,9.186969986886268,,,,,,
183,11020,after_ablation,cap1,adult,,,48.5877605576923,,,,9.240529416616251,9.28666666666667,9.154,,,,,,
184,11020,after_ablation,cap2,adult,,,48.424762000000015,,,88.42463451120605,,,,,,,,,
185,11020,after_ablation,cap3,adult,,,48.58001710869566,,,,,,,,,,,,
186,11020,after_ablation,cap4,adult,,,,,,,,,,,,,,,
187,11020,after_ablation,cap5,adult,,,,,,,,,,,,,,,
188,11020,hyper2,pen_art,adult,,,103.69942494827588,,,,,,,,,,,,
189,11020,hyper2,sphincter,adult,,,101.66020018181815,,,113.5137543794822,,,,,,,,,
190,11020,hyper2,bulb,adult,,,98.79902700000002,,,,,,,,,,,,
191,11020,hyper2,cap1,adult,,,95.06027871929824,,,,,,,,,,,,
192,51020,baseline,pen_art,adult,4.906856476697316,10.97834916201117,49.845493979166655,,,,13.099732631347084,13.3281817556998,12.8023333333333,3678.6698103031035,483.45428711637703,130.81751766266916,52.8284568758742,8.645746109818665,1.4406127793261387
193,51020,baseline,sphincter,adult,,,49.64734363636364,49.98250916666667,4.4845983422741895,263.35360319444436,2.590946532738146,2.8426968447329277,1.9177897982355834,,,,,,
194,51020,baseline,bulb,adult,4.889619127859832,5.340873278236915,49.75801170454547,49.98250916666667,3.7072039913285573,,6.496525851700882,6.567,6.368,575.7324670673844,59.113116085184615,17.43263057700744,34.312257995089546,3.5415753391837024,1.0693726081752815
195,51020,baseline,cap1,adult,,,49.791947302325575,,,,3.170839559402076,3.3084241699451016,2.5316681512394568,,,,,,
196,51020,baseline,cap2,adult,,,49.54895306122447,,,110.44480790540551,,,,,,,,,
